priority,level,lesson_code,lesson_title,asset_type,speed,file_name,storage_path,text_nl,notes
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","phrase","slow","kunt-u-langzaam-spreken.slow.native.nl.mp3","audio/A0-01/phrases/kunt-u-langzaam-spreken.slow.native.nl.mp3","Kunt u langzaam spreken?","Record slowly, with clear pauses."
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","phrase","natural","kunt-u-langzaam-spreken.native.nl.mp3","audio/A0-01/phrases/kunt-u-langzaam-spreken.native.nl.mp3","Kunt u langzaam spreken?","Record at natural Dutch speed."
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","phrase","slow","spreekt-u-engels.slow.native.nl.mp3","audio/A0-01/phrases/spreekt-u-engels.slow.native.nl.mp3","Spreekt u Engels?","Record slowly, with clear pauses. Optional review phrase."
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","phrase","natural","spreekt-u-engels.native.nl.mp3","audio/A0-01/phrases/spreekt-u-engels.native.nl.mp3","Spreekt u Engels?","Record at natural Dutch speed. Optional review phrase."
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","phrase","slow","ik-spreek-een-beetje-nederlands.slow.native.nl.mp3","audio/A0-01/phrases/ik-spreek-een-beetje-nederlands.slow.native.nl.mp3","Ik spreek een beetje Nederlands.","Record slowly, with clear pauses. Optional review phrase."
"P0","A0","A0-01","Pedir Ajuda Quando Nao Entendo","phrase","natural","ik-spreek-een-beetje-nederlands.native.nl.mp3","audio/A0-01/phrases/ik-spreek-een-beetje-nederlands.native.nl.mp3","Ik spreek 'n beetje Nederlands.","Record at natural Dutch speed. Optional review phrase."
"P1","A0","A0-01","Pedir Ajuda Quando Nao Entendo","dialogue","natural","a0-01-mini-dialogue.native.nl.mp3","audio/A0-01/dialogues/a0-01-mini-dialogue.native.nl.mp3","Medewerker: Goedemorgen. Heeft u een afspraak? / Student: Sorry, ik begrijp het niet. / Medewerker: Heeft u een afspraak? / Student: Kunt u langzaam spreken? / Medewerker: Ja, natuurlijk. Heeft u een afspraak? / Student: Ja. Ik heb een afspraak.","Record as a short two-person dialogue with natural interaction"
"P1","A0","A0-02","Alfabeto e sons do neerlandes","word","natural","alfabet.native.nl.mp3","audio/A0-02/words/alfabet.native.nl.mp3","alfabet","Record isolated word clearly"
"P1","A0","A0-02","Alfabeto e sons do neerlandes","word","natural","letter.native.nl.mp3","audio/A0-02/words/letter.native.nl.mp3","letter","Record isolated word clearly"
"P1","A0","A0-02","Alfabeto e sons do neerlandes","word","natural","naam.native.nl.mp3","audio/A0-02/words/naam.native.nl.mp3","naam","Record isolated word clearly"
"P1","A0","A0-02","Alfabeto e sons do neerlandes","word","natural","spellen.native.nl.mp3","audio/A0-02/words/spellen.native.nl.mp3","spellen","Record isolated word clearly"
"P1","A0","A0-02","Alfabeto e sons do neerlandes","word","natural","adres.native.nl.mp3","audio/A0-02/words/adres.native.nl.mp3","adres","Record isolated word clearly"
"P1","A0","A0-02","Alfabeto e sons do neerlandes","word","natural","postcode.native.nl.mp3","audio/A0-02/words/postcode.native.nl.mp3","postcode","Record isolated word clearly"
"P1","A0","A0-02","Alfabeto e sons do neerlandes","phrase","slow","kunt-u-dat-spellen.slow.native.nl.mp3","audio/A0-02/phrases/kunt-u-dat-spellen.slow.native.nl.mp3","Kunt u dat spellen?","Record slowly, with clear pauses."
"P1","A0","A0-02","Alfabeto e sons do neerlandes","phrase","natural","kunt-u-dat-spellen.native.nl.mp3","audio/A0-02/phrases/kunt-u-dat-spellen.native.nl.mp3","Kuntu dat spellen?","Record at natural Dutch speed."
"P1","A0","A0-02","Alfabeto e sons do neerlandes","phrase","slow","wat-is-uw-naam.slow.native.nl.mp3","audio/A0-02/phrases/wat-is-uw-naam.slow.native.nl.mp3","Wat is uw naam?","Record slowly, with clear pauses."
"P1","A0","A0-02","Alfabeto e sons do neerlandes","phrase","natural","wat-is-uw-naam.native.nl.mp3","audio/A0-02/phrases/wat-is-uw-naam.native.nl.mp3","Wat is uw naam?","Record at natural Dutch speed."
"P1","A0","A0-02","Alfabeto e sons do neerlandes","phrase","slow","mijn-naam-is.slow.native.nl.mp3","audio/A0-02/phrases/mijn-naam-is.slow.native.nl.mp3","Mijn naam is Henrique.","Record slowly, with clear pauses."
"P1","A0","A0-02","Alfabeto e sons do neerlandes","phrase","natural","mijn-naam-is.native.nl.mp3","audio/A0-02/phrases/mijn-naam-is.native.nl.mp3","Mijn naam is Henrique.","Record at natural Dutch speed."
"P1","A0","A0-02","Alfabeto e sons do neerlandes","phrase","slow","is-dat-met-een-a.slow.native.nl.mp3","audio/A0-02/phrases/is-dat-met-een-a.slow.native.nl.mp3","Is dat met een A?","Record slowly, with clear pauses."
"P1","A0","A0-02","Alfabeto e sons do neerlandes","phrase","natural","is-dat-met-een-a.native.nl.mp3","audio/A0-02/phrases/is-dat-met-een-a.native.nl.mp3","Is dat met een A?","Record at natural Dutch speed."
"P1","A0","A0-02","Alfabeto e sons do neerlandes","dialogue","natural","a0-02-mini-dialogue.native.nl.mp3","audio/A0-02/dialogues/a0-02-mini-dialogue.native.nl.mp3","Pessoa: Goedemorgen. / Aluno: Goedemorgen. / Pessoa: Kunt u dat spellen? / Aluno: Sorry, ik begrijp het niet. Kunt u dat herhalen? / Pessoa: Wat is uw naam? / Aluno: Dank u wel.","Record as a short two-person dialogue with natural interaction"
"P1","A0","A0-03","Pronuncia essencial","word","natural","graag.native.nl.mp3","audio/A0-03/words/graag.native.nl.mp3","graag","Record isolated word clearly"
"P1","A0","A0-03","Pronuncia essencial","word","natural","goed.native.nl.mp3","audio/A0-03/words/goed.native.nl.mp3","goed","Record isolated word clearly"
"P1","A0","A0-03","Pronuncia essencial","word","natural","huis.native.nl.mp3","audio/A0-03/words/huis.native.nl.mp3","huis","Record isolated word clearly"
"P1","A0","A0-03","Pronuncia essencial","word","natural","mijn.native.nl.mp3","audio/A0-03/words/mijn.native.nl.mp3","mijn","Record isolated word clearly"
"P1","A0","A0-03","Pronuncia essencial","word","natural","spreek.native.nl.mp3","audio/A0-03/words/spreek.native.nl.mp3","spreek","Record isolated word clearly"
"P1","A0","A0-03","Pronuncia essencial","word","natural","nederlands.native.nl.mp3","audio/A0-03/words/nederlands.native.nl.mp3","Nederlands","Record isolated word clearly"
"P1","A0","A0-03","Pronuncia essencial","phrase","slow","ik-spreek-een-beetje-nederlands.slow.native.nl.mp3","audio/A0-03/phrases/ik-spreek-een-beetje-nederlands.slow.native.nl.mp3","Ik spreek een beetje Nederlands.","Record slowly, with clear pauses."
"P1","A0","A0-03","Pronuncia essencial","phrase","natural","ik-spreek-een-beetje-nederlands.native.nl.mp3","audio/A0-03/phrases/ik-spreek-een-beetje-nederlands.native.nl.mp3","Ik spreek 'n beetje Nederlands.","Record at natural Dutch speed."
"P1","A0","A0-03","Pronuncia essencial","phrase","slow","hoe-zegt-u-dat.slow.native.nl.mp3","audio/A0-03/phrases/hoe-zegt-u-dat.slow.native.nl.mp3","Hoe zegt u dat?","Record slowly, with clear pauses."
"P1","A0","A0-03","Pronuncia essencial","phrase","natural","hoe-zegt-u-dat.native.nl.mp3","audio/A0-03/phrases/hoe-zegt-u-dat.native.nl.mp3","Hoe zegtu dat?","Record at natural Dutch speed."
"P1","A0","A0-03","Pronuncia essencial","phrase","slow","luister-en-herhaal.slow.native.nl.mp3","audio/A0-03/phrases/luister-en-herhaal.slow.native.nl.mp3","Luister en herhaal.","Record slowly, with clear pauses."
"P1","A0","A0-03","Pronuncia essencial","phrase","natural","luister-en-herhaal.native.nl.mp3","audio/A0-03/phrases/luister-en-herhaal.native.nl.mp3","Luister en herhaal.","Record at natural Dutch speed."
"P1","A0","A0-03","Pronuncia essencial","phrase","slow","ik-hoor-het-verschil.slow.native.nl.mp3","audio/A0-03/phrases/ik-hoor-het-verschil.slow.native.nl.mp3","Ik hoor het verschil.","Record slowly, with clear pauses."
"P1","A0","A0-03","Pronuncia essencial","phrase","natural","ik-hoor-het-verschil.native.nl.mp3","audio/A0-03/phrases/ik-hoor-het-verschil.native.nl.mp3","Ik hoor 't verschil.","Record at natural Dutch speed."
"P1","A0","A0-03","Pronuncia essencial","dialogue","natural","a0-03-mini-dialogue.native.nl.mp3","audio/A0-03/dialogues/a0-03-mini-dialogue.native.nl.mp3","Pessoa: Goedemorgen. / Aluno: Goedemorgen. / Pessoa: Ik spreek een beetje Nederlands. / Aluno: Sorry, ik begrijp het niet. Kunt u dat herhalen? / Pessoa: Hoe zegt u dat? / Aluno: Dank u wel.","Record as a short two-person dialogue with natural interaction"
"P1","A0","A0-04","Cumprimentos e despedidas","word","natural","hallo.native.nl.mp3","audio/A0-04/words/hallo.native.nl.mp3","hallo","Record isolated word clearly"
"P1","A0","A0-04","Cumprimentos e despedidas","word","natural","goedemorgen.native.nl.mp3","audio/A0-04/words/goedemorgen.native.nl.mp3","goedemorgen","Record isolated word clearly"
"P1","A0","A0-04","Cumprimentos e despedidas","word","natural","goedemiddag.native.nl.mp3","audio/A0-04/words/goedemiddag.native.nl.mp3","goedemiddag","Record isolated word clearly"
"P1","A0","A0-04","Cumprimentos e despedidas","word","natural","goedenavond.native.nl.mp3","audio/A0-04/words/goedenavond.native.nl.mp3","goedenavond","Record isolated word clearly"
"P1","A0","A0-04","Cumprimentos e despedidas","word","natural","dank.native.nl.mp3","audio/A0-04/words/dank.native.nl.mp3","dank","Record isolated word clearly"
"P1","A0","A0-04","Cumprimentos e despedidas","word","natural","ziens.native.nl.mp3","audio/A0-04/words/ziens.native.nl.mp3","ziens","Record isolated word clearly"
"P1","A0","A0-04","Cumprimentos e despedidas","phrase","slow","goedemorgen.slow.native.nl.mp3","audio/A0-04/phrases/goedemorgen.slow.native.nl.mp3","Goedemorgen.","Record slowly, with clear pauses."
"P1","A0","A0-04","Cumprimentos e despedidas","phrase","natural","goedemorgen.native.nl.mp3","audio/A0-04/phrases/goedemorgen.native.nl.mp3","Goeiemorgen.","Record at natural Dutch speed."
"P1","A0","A0-04","Cumprimentos e despedidas","phrase","slow","dank-u-wel.slow.native.nl.mp3","audio/A0-04/phrases/dank-u-wel.slow.native.nl.mp3","Dank u wel.","Record slowly, with clear pauses."
"P1","A0","A0-04","Cumprimentos e despedidas","phrase","natural","dank-u-wel.native.nl.mp3","audio/A0-04/phrases/dank-u-wel.native.nl.mp3","Dankuwel.","Record at natural Dutch speed."
"P1","A0","A0-04","Cumprimentos e despedidas","phrase","slow","graag-gedaan.slow.native.nl.mp3","audio/A0-04/phrases/graag-gedaan.slow.native.nl.mp3","Graag gedaan.","Record slowly, with clear pauses."
"P1","A0","A0-04","Cumprimentos e despedidas","phrase","natural","graag-gedaan.native.nl.mp3","audio/A0-04/phrases/graag-gedaan.native.nl.mp3","Graag gedaan.","Record at natural Dutch speed."
"P1","A0","A0-04","Cumprimentos e despedidas","phrase","slow","tot-ziens.slow.native.nl.mp3","audio/A0-04/phrases/tot-ziens.slow.native.nl.mp3","Tot ziens.","Record slowly, with clear pauses."
"P1","A0","A0-04","Cumprimentos e despedidas","phrase","natural","tot-ziens.native.nl.mp3","audio/A0-04/phrases/tot-ziens.native.nl.mp3","Tot ziens.","Record at natural Dutch speed."
"P1","A0","A0-04","Cumprimentos e despedidas","dialogue","natural","a0-04-mini-dialogue.native.nl.mp3","audio/A0-04/dialogues/a0-04-mini-dialogue.native.nl.mp3","Pessoa: Goedemorgen. / Aluno: Goedemorgen. / Pessoa: Goedemorgen. / Aluno: Sorry, ik begrijp het niet. Kunt u dat herhalen? / Pessoa: Dank u wel. / Aluno: Dank u wel.","Record as a short two-person dialogue with natural interaction"
"P1","A0","A0-05","Numeros 0-100","word","natural","nul.native.nl.mp3","audio/A0-05/words/nul.native.nl.mp3","nul","Record isolated word clearly"
"P1","A0","A0-05","Numeros 0-100","word","natural","een.native.nl.mp3","audio/A0-05/words/een.native.nl.mp3","een","Record isolated word clearly"
"P1","A0","A0-05","Numeros 0-100","word","natural","vijf.native.nl.mp3","audio/A0-05/words/vijf.native.nl.mp3","vijf","Record isolated word clearly"
"P1","A0","A0-05","Numeros 0-100","word","natural","tien.native.nl.mp3","audio/A0-05/words/tien.native.nl.mp3","tien","Record isolated word clearly"
"P1","A0","A0-05","Numeros 0-100","word","natural","twintig.native.nl.mp3","audio/A0-05/words/twintig.native.nl.mp3","twintig","Record isolated word clearly"
"P1","A0","A0-05","Numeros 0-100","word","natural","honderd.native.nl.mp3","audio/A0-05/words/honderd.native.nl.mp3","honderd","Record isolated word clearly"
"P1","A0","A0-05","Numeros 0-100","phrase","slow","mijn-nummer-is-zevenentwintig.slow.native.nl.mp3","audio/A0-05/phrases/mijn-nummer-is-zevenentwintig.slow.native.nl.mp3","Mijn nummer is zevenentwintig.","Record slowly, with clear pauses."
"P1","A0","A0-05","Numeros 0-100","phrase","natural","mijn-nummer-is-zevenentwintig.native.nl.mp3","audio/A0-05/phrases/mijn-nummer-is-zevenentwintig.native.nl.mp3","Mijn nummer is zevenentwintig.","Record at natural Dutch speed."
"P1","A0","A0-05","Numeros 0-100","phrase","slow","dat-kost-vijf-euro.slow.native.nl.mp3","audio/A0-05/phrases/dat-kost-vijf-euro.slow.native.nl.mp3","Dat kost vijf euro.","Record slowly, with clear pauses."
"P1","A0","A0-05","Numeros 0-100","phrase","natural","dat-kost-vijf-euro.native.nl.mp3","audio/A0-05/phrases/dat-kost-vijf-euro.native.nl.mp3","Dat kost vijf euro.","Record at natural Dutch speed."
"P1","A0","A0-05","Numeros 0-100","phrase","slow","ik-ben-dertig-jaar.slow.native.nl.mp3","audio/A0-05/phrases/ik-ben-dertig-jaar.slow.native.nl.mp3","Ik ben dertig jaar.","Record slowly, with clear pauses."
"P1","A0","A0-05","Numeros 0-100","phrase","natural","ik-ben-dertig-jaar.native.nl.mp3","audio/A0-05/phrases/ik-ben-dertig-jaar.native.nl.mp3","Ik ben dertig jaar.","Record at natural Dutch speed."
"P1","A0","A0-05","Numeros 0-100","phrase","slow","kunt-u-het-nummer-herhalen.slow.native.nl.mp3","audio/A0-05/phrases/kunt-u-het-nummer-herhalen.slow.native.nl.mp3","Kunt u het nummer herhalen?","Record slowly, with clear pauses."
"P1","A0","A0-05","Numeros 0-100","phrase","natural","kunt-u-het-nummer-herhalen.native.nl.mp3","audio/A0-05/phrases/kunt-u-het-nummer-herhalen.native.nl.mp3","Kunt u het nummer herhalen?","Record at natural Dutch speed."
"P1","A0","A0-05","Numeros 0-100","dialogue","natural","a0-05-mini-dialogue.native.nl.mp3","audio/A0-05/dialogues/a0-05-mini-dialogue.native.nl.mp3","Pessoa: Goedemorgen. / Aluno: Goedemorgen. / Pessoa: Mijn nummer is zevenentwintig. / Aluno: Sorry, ik begrijp het niet. Kunt u dat herhalen? / Pessoa: Dat kost vijf euro. / Aluno: Dank u wel.","Record as a short two-person dialogue with natural interaction"
"P1","A0","A0-06","Dias, meses e datas","word","natural","vandaag.native.nl.mp3","audio/A0-06/words/vandaag.native.nl.mp3","vandaag","Record isolated word clearly"
"P1","A0","A0-06","Dias, meses e datas","word","natural","morgen.native.nl.mp3","audio/A0-06/words/morgen.native.nl.mp3","morgen","Record isolated word clearly"
"P1","A0","A0-06","Dias, meses e datas","word","natural","maandag.native.nl.mp3","audio/A0-06/words/maandag.native.nl.mp3","maandag","Record isolated word clearly"
"P1","A0","A0-06","Dias, meses e datas","word","natural","week.native.nl.mp3","audio/A0-06/words/week.native.nl.mp3","week","Record isolated word clearly"
"P1","A0","A0-06","Dias, meses e datas","word","natural","maand.native.nl.mp3","audio/A0-06/words/maand.native.nl.mp3","maand","Record isolated word clearly"
"P1","A0","A0-06","Dias, meses e datas","word","natural","afspraak.native.nl.mp3","audio/A0-06/words/afspraak.native.nl.mp3","afspraak","Record isolated word clearly"
"P1","A0","A0-06","Dias, meses e datas","phrase","slow","ik-heb-een-afspraak-op-maandag.slow.native.nl.mp3","audio/A0-06/phrases/ik-heb-een-afspraak-op-maandag.slow.native.nl.mp3","Ik heb een afspraak op maandag.","Record slowly, with clear pauses."
"P1","A0","A0-06","Dias, meses e datas","phrase","natural","ik-heb-een-afspraak-op-maandag.native.nl.mp3","audio/A0-06/phrases/ik-heb-een-afspraak-op-maandag.native.nl.mp3","Ik heb een afspraak op maandag.","Record at natural Dutch speed."
"P1","A0","A0-06","Dias, meses e datas","phrase","slow","welke-dag-is-het.slow.native.nl.mp3","audio/A0-06/phrases/welke-dag-is-het.slow.native.nl.mp3","Welke dag is het?","Record slowly, with clear pauses."
"P1","A0","A0-06","Dias, meses e datas","phrase","natural","welke-dag-is-het.native.nl.mp3","audio/A0-06/phrases/welke-dag-is-het.native.nl.mp3","Welke dag is het?","Record at natural Dutch speed."
"P1","A0","A0-06","Dias, meses e datas","phrase","slow","vandaag-is-het-vrijdag.slow.native.nl.mp3","audio/A0-06/phrases/vandaag-is-het-vrijdag.slow.native.nl.mp3","Vandaag is het vrijdag.","Record slowly, with clear pauses."
"P1","A0","A0-06","Dias, meses e datas","phrase","natural","vandaag-is-het-vrijdag.native.nl.mp3","audio/A0-06/phrases/vandaag-is-het-vrijdag.native.nl.mp3","Vandaag is het vrijdag.","Record at natural Dutch speed."
"P1","A0","A0-06","Dias, meses e datas","phrase","slow","kunt-u-de-datum-herhalen.slow.native.nl.mp3","audio/A0-06/phrases/kunt-u-de-datum-herhalen.slow.native.nl.mp3","Kunt u de datum herhalen?","Record slowly, with clear pauses."
"P1","A0","A0-06","Dias, meses e datas","phrase","natural","kunt-u-de-datum-herhalen.native.nl.mp3","audio/A0-06/phrases/kunt-u-de-datum-herhalen.native.nl.mp3","Kunt u de datum herhalen?","Record at natural Dutch speed."
"P1","A0","A0-06","Dias, meses e datas","dialogue","natural","a0-06-mini-dialogue.native.nl.mp3","audio/A0-06/dialogues/a0-06-mini-dialogue.native.nl.mp3","Pessoa: Goedemorgen. / Aluno: Goedemorgen. / Pessoa: Ik heb een afspraak op maandag. / Aluno: Sorry, ik begrijp het niet. Kunt u dat herhalen? / Pessoa: Welke dag is het? / Aluno: Dank u wel.","Record as a short two-person dialogue with natural interaction"
"P1","A0","A0-07","Frases de sobrevivencia","word","natural","alstublieft.native.nl.mp3","audio/A0-07/words/alstublieft.native.nl.mp3","alstublieft","Record isolated word clearly"
"P1","A0","A0-07","Frases de sobrevivencia","word","natural","sorry.native.nl.mp3","audio/A0-07/words/sorry.native.nl.mp3","sorry","Record isolated word clearly"
"P1","A0","A0-07","Frases de sobrevivencia","word","natural","langzaam.native.nl.mp3","audio/A0-07/words/langzaam.native.nl.mp3","langzaam","Record isolated word clearly"
"P1","A0","A0-07","Frases de sobrevivencia","word","natural","helpen.native.nl.mp3","audio/A0-07/words/helpen.native.nl.mp3","helpen","Record isolated word clearly"
"P1","A0","A0-07","Frases de sobrevivencia","word","natural","wachten.native.nl.mp3","audio/A0-07/words/wachten.native.nl.mp3","wachten","Record isolated word clearly"
"P1","A0","A0-07","Frases de sobrevivencia","word","natural","nodig.native.nl.mp3","audio/A0-07/words/nodig.native.nl.mp3","nodig","Record isolated word clearly"
"P1","A0","A0-07","Frases de sobrevivencia","phrase","slow","kunt-u-mij-helpen.slow.native.nl.mp3","audio/A0-07/phrases/kunt-u-mij-helpen.slow.native.nl.mp3","Kunt u mij helpen?","Record slowly, with clear pauses."
"P1","A0","A0-07","Frases de sobrevivencia","phrase","natural","kunt-u-mij-helpen.native.nl.mp3","audio/A0-07/phrases/kunt-u-mij-helpen.native.nl.mp3","Kunt u mij helpen?","Record at natural Dutch speed."
"P1","A0","A0-07","Frases de sobrevivencia","phrase","slow","ik-begrijp-het-niet.slow.native.nl.mp3","audio/A0-07/phrases/ik-begrijp-het-niet.slow.native.nl.mp3","Ik begrijp het niet.","Record slowly, with clear pauses."
"P1","A0","A0-07","Frases de sobrevivencia","phrase","natural","ik-begrijp-het-niet.native.nl.mp3","audio/A0-07/phrases/ik-begrijp-het-niet.native.nl.mp3","Ik begrijp het niet.","Record at natural Dutch speed."
"P1","A0","A0-07","Frases de sobrevivencia","phrase","slow","kunt-u-langzaam-spreken.slow.native.nl.mp3","audio/A0-07/phrases/kunt-u-langzaam-spreken.slow.native.nl.mp3","Kunt u langzaam spreken?","Record slowly, with clear pauses."
"P1","A0","A0-07","Frases de sobrevivencia","phrase","natural","kunt-u-langzaam-spreken.native.nl.mp3","audio/A0-07/phrases/kunt-u-langzaam-spreken.native.nl.mp3","Kunt u langzaam spreken?","Record at natural Dutch speed."
"P1","A0","A0-07","Frases de sobrevivencia","phrase","slow","ik-heb-hulp-nodig.slow.native.nl.mp3","audio/A0-07/phrases/ik-heb-hulp-nodig.slow.native.nl.mp3","Ik heb hulp nodig.","Record slowly, with clear pauses."
"P1","A0","A0-07","Frases de sobrevivencia","phrase","natural","ik-heb-hulp-nodig.native.nl.mp3","audio/A0-07/phrases/ik-heb-hulp-nodig.native.nl.mp3","Ik heb hulp nodig.","Record at natural Dutch speed."
"P1","A0","A0-07","Frases de sobrevivencia","dialogue","natural","a0-07-mini-dialogue.native.nl.mp3","audio/A0-07/dialogues/a0-07-mini-dialogue.native.nl.mp3","Pessoa: Goedemorgen. / Aluno: Goedemorgen. / Pessoa: Kunt u mij helpen? / Aluno: Sorry, ik begrijp het niet. Kunt u dat herhalen? / Pessoa: Ik begrijp het niet. / Aluno: Dank u wel.","Record as a short two-person dialogue with natural interaction"
"P1","A0","A0-08","Revisao A0","word","natural","begrijp.native.nl.mp3","audio/A0-08/words/begrijp.native.nl.mp3","begrijp","Record isolated word clearly"
"P1","A0","A0-08","Revisao A0","word","natural","spellen.native.nl.mp3","audio/A0-08/words/spellen.native.nl.mp3","spellen","Record isolated word clearly"
"P1","A0","A0-08","Revisao A0","word","natural","nummer.native.nl.mp3","audio/A0-08/words/nummer.native.nl.mp3","nummer","Record isolated word clearly"
"P1","A0","A0-08","Revisao A0","word","natural","datum.native.nl.mp3","audio/A0-08/words/datum.native.nl.mp3","datum","Record isolated word clearly"
"P1","A0","A0-08","Revisao A0","word","natural","afspraak.native.nl.mp3","audio/A0-08/words/afspraak.native.nl.mp3","afspraak","Record isolated word clearly"
"P1","A0","A0-08","Revisao A0","word","natural","nederlands.native.nl.mp3","audio/A0-08/words/nederlands.native.nl.mp3","Nederlands","Record isolated word clearly"
"P1","A0","A0-08","Revisao A0","phrase","slow","goedemorgen-ik-heb-een-afspraak.slow.native.nl.mp3","audio/A0-08/phrases/goedemorgen-ik-heb-een-afspraak.slow.native.nl.mp3","Goedemorgen, ik heb een afspraak.","Record slowly, with clear pauses."
"P1","A0","A0-08","Revisao A0","phrase","natural","goedemorgen-ik-heb-een-afspraak.native.nl.mp3","audio/A0-08/phrases/goedemorgen-ik-heb-een-afspraak.native.nl.mp3","Goedemorgen, ik heb een afspraak.","Record at natural Dutch speed."
"P1","A0","A0-08","Revisao A0","phrase","slow","kunt-u-dat-spellen.slow.native.nl.mp3","audio/A0-08/phrases/kunt-u-dat-spellen.slow.native.nl.mp3","Kunt u dat spellen?","Record slowly, with clear pauses."
"P1","A0","A0-08","Revisao A0","phrase","natural","kunt-u-dat-spellen.native.nl.mp3","audio/A0-08/phrases/kunt-u-dat-spellen.native.nl.mp3","Kunt u dat spellen?","Record at natural Dutch speed."
"P1","A0","A0-08","Revisao A0","phrase","slow","mijn-nummer-is-zevenentwintig.slow.native.nl.mp3","audio/A0-08/phrases/mijn-nummer-is-zevenentwintig.slow.native.nl.mp3","Mijn nummer is zevenentwintig.","Record slowly, with clear pauses."
"P1","A0","A0-08","Revisao A0","phrase","natural","mijn-nummer-is-zevenentwintig.native.nl.mp3","audio/A0-08/phrases/mijn-nummer-is-zevenentwintig.native.nl.mp3","Mijn nummer is zevenentwintig.","Record at natural Dutch speed."
"P1","A0","A0-08","Revisao A0","phrase","slow","ik-spreek-een-beetje-nederlands.slow.native.nl.mp3","audio/A0-08/phrases/ik-spreek-een-beetje-nederlands.slow.native.nl.mp3","Ik spreek een beetje Nederlands.","Record slowly, with clear pauses."
